ClientId,Target,Risk,Company,Org,Age,Truck,Car,TypeActivity,Assets,Department,Size
1,0,3,МСГРУПП,Акционерные общества,22.0,1,0,Строительство жилых и нежилых зданий,7.25,Новгородская область,Малые предприятия
2,1,1,ХИМПРОМ,Общества с ограниченной ответственностью,38.0,1,0,Торговля оптовая неспециализированная,71.2833,Чувашская Республика-Чувашия,Средние предприятия
3,1,3,АСМОТО ТАГИЛ,Общества с ограниченной ответственностью,26.0,0,0,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах,7.925,Москва,Малые предприятия
4,1,1,КЕРАМЗИТ-НТ,Общества с ограниченной ответственностью,35.0,1,0,Торговля оптовая прочими строительными материалами и изделиями,53.1,Свердловская область,Малые предприятия
5,0,3,СМ ТРАНС,Акционерные общества,35.0,0,0,Деятельность автомобильного грузового транспорта и услуги по перевозкам,8.05,Москва,Малые предприятия
6,0,3,УРИЦ НТ,Акционерные общества,,0,0,Ремонт машин и оборудования,8.4583,,Крупные предприятия
7,0,1,РАСВЕТ,Акционерные общества,54.0,0,0,Торговля оптовая неспециализированная,51.8625,,Малые предприятия
8,0,3,УРАЛСТРОЙКОМПЛЕКС,Акционерные общества,2.0,3,1,Строительство жилых и нежилых зданий,21.075,,Малые предприятия
9,1,3,УРСО ПОЛИМЕР,Общества с ограниченной ответственностью,27.0,0,2,Строительство жилых и нежилых зданий,11.1333,,Малые предприятия
10,1,2,СГТ,Общества с ограниченной ответственностью,14.0,1,0,"Работы строительные специализированные прочие, не включенные в другие группировки",30.0708,Свердловская область,Средние предприятия
11,1,3,ВОСТОКМЕТАЛЛУРГМОНТАЖ,Общества с ограниченной ответственностью,4.0,1,1,Строительство жилых и нежилых зданий,16.7,Московская область,Малые предприятия
12,1,1,УЗМК,Общества с ограниченной ответственностью,58.0,0,0,"Производство прочих готовых металлических изделий, не включенных в другие группировки",26.55,Москва,Малые предприятия
13,0,3,ГОРСВЕТ-НТ,Акционерные общества,20.0,0,0,Строительство жилых и нежилых зданий,8.05,Москва,Малые предприятия
14,0,3,РЕСУРС,Акционерные общества,39.0,1,5,Строительство жилых и нежилых зданий,31.275,,Малые предприятия
15,0,3,СТРОЙ РЕГИОН,Общества с ограниченной ответственностью,14.0,0,0,Подготовка строительной площадки,7.8542,Москва,Малые предприятия
16,1,2,УРАЛСТРОЙСНАБ,Общества с ограниченной ответственностью,55.0,0,0,Торговля оптовая неспециализированная,16.0,,Малые предприятия
17,0,3,ДЭККАСТРОЙ,Акционерные общества,2.0,4,1,"Строительство прочих инженерных сооружений, не включенных в другие группировки",29.125,,Крупные предприятия
18,1,2,К СЕРВИС,Акционерные общества,,0,0,Управление недвижимым имуществом за вознаграждение или на договорной основе,13.0,,Малые предприятия
19,0,3,ВЕЛЕС-БЫТ-СЕРВИС,Общества с ограниченной ответственностью,31.0,1,0,"Торговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах",18.0,,Малые предприятия
20,1,3,ВТОРЧЕРМЕТ,Общества с ограниченной ответственностью,,0,0,Обработка отходов и лома черных металлов,7.225,,Средние предприятия
21,0,2,ТЕМИР-ТЕКС,Акционерные общества,35.0,0,0,Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами,26.0,,Малые предприятия
22,1,2,УРАЛЬСКАЯ ВЕРТОЛЕТНАЯ КОМПАНИЯ,Акционерные общества,34.0,0,0,"Торговля оптовая прочими машинами, оборудованием и принадлежностями",13.0,,Малые предприятия
23,1,3,СТРОЙТЕ С НАМИ,Общества с ограниченной ответственностью,15.0,0,0,"Торговля розничная вне магазинов, палаток, рынков",8.0292,Тюменская область,Крупные предприятия
24,1,1,АСТРА-ГРУПП,Акционерные общества,28.0,0,0,Строительство жилых и нежилых зданий,35.5,,Малые предприятия
25,0,3,МЕТАЛЛСНАБКОМПЛЕКТ,Общества с ограниченной ответственностью,8.0,3,1,Торговля оптовая металлами и металлическими рудами,21.075,Москва,Малые предприятия
26,1,3,ОК-ТРАНС,Общества с ограниченной ответственностью,38.0,1,5,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах,31.3875,Вологодская область,Малые предприятия
27,0,3,ТД СКОН,Акционерные общества,,0,0,"Торговля розничная непродовольственными товарами, не включенными в другие группировки, в специализированных магазинах",7.225,Санкт-Петербург,Средние предприятия
28,0,1,СТЗ,Акционерные общества,19.0,3,2,"Ковка, прессование, штамповка и профилирование, изготовление изделий методом порошковой металлургии",263.0,,Малые предприятия
29,1,3,ПОЛИМЕТ,Общества с ограниченной ответственностью,,0,0,Литье чугуна,7.8792,,Крупные предприятия
30,0,3,МОНОЛИТ,Акционерные общества,,0,0,Деятельность частных охранных служб,7.8958,,Малые предприятия
31,0,1,УРАЛЬСКОЕ КАРЬЕРОУПРАВЛЕНИЕ,Акционерные общества,40.0,0,0,Добыча и первичная обработка известняка и гипсового камня,27.7208,Москва,Средние предприятия
32,1,1,КОНСАЛТ-АГРО-2,Общества с ограниченной ответственностью,,1,0,Торговля оптовая кормами для сельскохозяйственных животных,146.5208,,Средние предприятия
33,1,3,КОРВЕТ,Общества с ограниченной ответственностью,,0,0,Строительство жилых и нежилых зданий,7.75,Санкт-Петербург,Крупные предприятия
34,0,2,ПРОМСПЕЦСТРОЙ,Акционерные общества,66.0,0,0,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,10.5,Ростовская область,Малые предприятия
35,0,1,ЗАВОД МЕДСИНТЕЗ,Акционерные общества,28.0,1,0,"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",82.1708,,Средние предприятия
36,0,1,ГОСТСТРОЙ,Акционерные общества,42.0,1,0,Строительство жилых и нежилых зданий,52.0,,Малые предприятия
37,1,3,РУКОР,Акционерные общества,,0,0,Строительство автомобильных дорог и автомагистралей,7.2292,,Средние предприятия
38,0,3,ОБЩЕПИТ,Акционерные общества,21.0,0,0,Деятельность предприятий общественного питания по прочим видам организации питания,8.05,Москва,Малые предприятия
39,0,3,РЕММОНТСЕРВИС,Общества с ограниченной ответственностью,18.0,2,0,Производство электромонтажных работ,18.0,Челябинская область,Малые предприятия
40,1,3,НОВОМЕТ,Общества с ограниченной ответственностью,14.0,1,0,Торговля оптовая отходами и ломом,11.2417,Нижегородская область,Средние предприятия
41,0,3,РОСМЕТАЛЛОПРОКАТ,Общества с ограниченной ответственностью,40.0,1,0,Торговля оптовая металлами и металлическими рудами,9.475,Москва,Малые предприятия
42,0,2,ОПТСЕРВИС,Общества с ограниченной ответственностью,27.0,1,0,"Торговля оптовая пищевыми продуктами, напитками и табачными изделиями",21.0,Тюменская область,Малые предприятия
43,0,3,СЦЗ,Акционерные общества,,0,0,"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",7.8958,Нижегородская область,Средние предприятия
44,1,2,УРАЛКРАН,Общества с ограниченной ответственностью,3.0,1,2,"Производство прочего грузоподъемного, транспортирующего и погрузочно-разгрузочного оборудования",41.5792,Ярославская область,Средние предприятия
45,1,3,БОГДАНОВИЧСКИЙ МЯСОКОМБИНАТ,Общества с ограниченной ответственностью,19.0,0,0,Переработка и консервирование мяса и мясной пищевой продукции,7.8792,,Крупные предприятия
46,0,3,СТРОЙПРОГРЕСС,Акционерные общества,,0,0,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",8.05,,Малые предприятия
47,0,3,ЦЕМТРАНС,Акционерные общества,,1,0,Перевозка грузов специализированными автотранспортными средствами,15.5,,Крупные предприятия
48,1,3,ЭСС,Общества с ограниченной ответственностью,,0,0,Предоставление прочих услуг в области добычи нефти и природного газа,7.75,,Крупные предприятия
49,0,3,НП ИСКРА,Акционерные общества,,2,0,"Разведение молочного крупного рогатого скота, производство сырого молока",21.6792,Алтайский край,Средние предприятия
50,0,3,ЕСТРА,Общества с ограниченной ответственностью,18.0,1,0,Строительство жилых и нежилых зданий,17.8,Омская область,Малые предприятия
51,0,3,МЛК,Акционерные общества,7.0,4,1,Перевозка грузов неспециализированными автотранспортными средствами,39.6875,Московская область,Малые предприятия
52,0,3,ТАЛИЦКИЕ МОЛОЧНЫЕ ФЕРМЫ,Акционерные общества,21.0,0,0,Производство молока (кроме сырого) и молочной продукции,7.8,Свердловская область,Малые предприятия
53,1,1,ТСК,Общества с ограниченной ответственностью,49.0,1,0,Строительство жилых и нежилых зданий,76.7292,Свердловская область,Средние предприятия
54,1,2,НОВОПЫШМИНСКОЕ,Общества с ограниченной ответственностью,29.0,1,0,"Разведение молочного крупного рогатого скота, производство сырого молока",26.0,Москва,Малые предприятия
55,0,1,АГРОХОЛДИНГ УРАЛЬСКИЙ,Акционерные общества,65.0,0,1,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",61.9792,Московская область,Средние предприятия
56,1,1,МСУ,Акционерные общества,,0,0,Торговля оптовая металлами и металлическими рудами,35.5,Красноярский край,Малые предприятия
57,1,2,ЦЕМЕНТСЕРВИС,Общества с ограниченной ответственностью,21.0,0,0,Деятельность автомобильного грузового транспорта,10.5,Челябинская область,Малые предприятия
58,0,3,БЕТОНСТРОЙ,Акционерные общества,28.5,0,0,"Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием",7.2292,Свердловская область,Средние предприятия
59,1,2,СЛК ЦЕМЕНТ,Общества с ограниченной ответственностью,5.0,1,2,Производство цемента,27.75,Свердловская область,Малые предприятия
60,0,3,АГРОФИРМА МАНЧАЖСКАЯ,Акционерные общества,11.0,5,2,"Разведение молочного крупного рогатого скота, производство сырого молока",46.9,Челябинская область,Малые предприятия
61,0,3,КОСУЛИНСКОЕ МП,Акционерные общества,22.0,0,0,Производство молока (кроме сырого) и молочной продукции,7.2292,Санкт-Петербург,Средние предприятия
62,1,1,ТЕХТРЕЙД,Общества с ограниченной ответственностью,38.0,0,0,"Торговля оптовая прочими потребительскими товарами, не включенными в другие группировки",80.0,Санкт-Петербург,
63,0,1,БФАИ,Акционерные общества,45.0,1,0,"Производство обработанных хризотиловых волокон, смесей на основе хризотила и изделий из них",83.475,Тюменская область,Малые предприятия
64,0,3,УС БАЭС,Акционерные общества,4.0,3,2,Строительство жилых и нежилых зданий,27.9,,Малые предприятия
65,0,1,АССТ,Акционерные общества,,0,0,"Работы строительные специализированные прочие, не включенные в другие группировки",27.7208,Алтайский край,Средние предприятия
66,1,3,УРАЛАВТО,Акционерные общества,,1,1,Деятельность автомобильного грузового транспорта,15.2458,Новосибирская область,Средние предприятия
67,1,2,ЖАСМИН,Общества с ограниченной ответственностью,29.0,0,0,Строительство автомобильных дорог и автомагистралей,10.5,Тюменская область,Малые предприятия
68,0,3,НЛМК-УРАЛ СЕРВИС,Акционерные общества,19.0,0,0,Производство инструмента,8.1583,Свердловская область,Малые предприятия
69,1,3,МИХАЙЛОВСКИЙ КАРЬЕР,Общества с ограниченной ответственностью,17.0,4,2,Добыча и первичная обработка известняка и гипсового камня,7.925,,Малые предприятия
70,0,3,МАЛОДЕГТЯРСКИЙ КАРЬЕР,Акционерные общества,26.0,2,0,Строительство автомобильных дорог и автомагистралей,8.6625,Красноярский край,Малые предприятия
71,0,2,КАМЕННЫЙ ПОЯС-НТ,Акционерные общества,32.0,0,0,Торговля оптовая неспециализированная,10.5,Московская область,Малые предприятия
72,0,3,УРАЛТЕРМОПЛАСТ,Общества с ограниченной ответственностью,16.0,5,2,Производство прочих пластмассовых изделий,46.9,Кемеровская область,Малые предприятия
73,0,2,КОЛЬЦОВСКИЙ КОМБИКОРМОВЫЙ ЗАВОД,Акционерные общества,21.0,0,0,"Производство готовых кормов для животных, содержащихся на фермах",73.5,,Малые предприятия
74,0,3,СЛД,Акционерные общества,26.0,1,0,"Предоставление услуг по восстановлению и оснащению (завершению) железнодорожных локомотивов, трамвайных моторных вагонов и прочего подвижного состава",14.4542,Ивановская область,Средние предприятия
75,1,3,УРАЛЬСКАЯ ВАТНАЯ КОМПАНИЯ,Акционерные общества,32.0,0,0,Торговля оптовая фармацевтической продукцией,56.4958,,Малые предприятия
76,0,3,КОФ,Акционерные общества,25.0,0,0,Обработка вторичного неметаллического сырья,7.65,Москва,Малые предприятия
77,0,3,ТЕХНОТУР,Акционерные общества,,0,0,Литье чугуна,7.8958,Москва,Малые предприятия
78,0,3,СЫСЕРТСКИЙ ХЛЕБОКОМБИНАТ,Акционерные общества,,0,0,"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения",8.05,Смоленская область,Малые предприятия
79,1,2,САРС,Акционерные общества,0.83,0,2,Техническое обслуживание и ремонт автотранспортных средств,29.0,Краснодарский край,Малые предприятия
80,1,3,САЗ,Общества с ограниченной ответственностью,30.0,0,0,Предоставление прочих услуг в области добычи нефти и природного газа,12.475,Омская область,Малые предприятия
81,0,3,КЛАСС-АГРО,Акционерные общества,22.0,0,0,"Торговля оптовая машинами, оборудованием и инструментами для сельского хозяйства",9.0,,Малые предприятия
82,1,3,ТСК-2,Акционерные общества,29.0,0,0,Строительство жилых и нежилых зданий,9.5,,Малые предприятия
83,1,3,ШАЛИНСКОЕ СУ,Общества с ограниченной ответственностью,,0,0,Строительство автомобильных дорог и автомагистралей,7.7875,,Крупные предприятия
84,0,1,ЭНЕРГОШАЛЯ,Акционерные общества,28.0,0,0,Передача электроэнергии и технологическое присоединение к распределительным электросетям,47.1,,Малые предприятия
