ClientId,AutoCnt,AutoNot
1,1,0
2,1,0
3,0,1
4,1,0
5,0,1
6,0,1
7,0,1
8,4,0
9,2,0
10,1,0
11,2,0
12,0,1
13,0,1
14,6,0
15,0,1
16,0,1
17,5,0
18,0,1
19,1,0
20,0,1
21,0,1
22,0,1
23,0,1
24,0,1
25,4,0
26,6,0
27,0,1
28,5,0
29,0,1
30,0,1
31,0,1
32,1,0
33,0,1
34,0,1
35,1,0
36,1,0
37,0,1
38,0,1
39,2,0
40,1,0
41,1,0
42,1,0
43,0,1
44,3,0
45,0,1
46,0,1
47,1,0
48,0,1
49,2,0
50,1,0
51,5,0
52,0,1
53,1,0
54,1,0
55,1,0
56,0,1
57,0,1
58,0,1
59,3,0
60,7,0
61,0,1
62,0,1
63,1,0
64,5,0
65,0,1
66,2,0
67,0,1
68,0,1
69,6,0
70,2,0
71,0,1
72,7,0
73,0,1
74,1,0
75,0,1
76,0,1
77,0,1
78,0,1
79,2,0
80,0,1
81,0,1
82,0,1
83,0,1
84,0,1
85,0,1
86,3,0
87,4,0
88,0,1
89,5,0
90,0,1
91,0,1
92,0,1
93,1,0
94,3,0
95,0,1
96,0,1
97,0,1
98,1,0
99,1,0
100,1,0
101,0,1
102,0,1
103,1,0
104,0,1
105,2,0
106,0,1
107,0,1
108,0,1
109,0,1
110,1,0
111,0,1
112,1,0
113,0,1
114,1,0
115,0,1
116,0,1
117,0,1
118,1,0
119,1,0
120,6,0
121,2,0
122,0,1
123,1,0
124,0,1
125,1,0
126,1,0
127,0,1
128,0,1
129,2,0
130,0,1
131,0,1
132,0,1
133,1,0
134,1,0
135,0,1
136,0,1
137,2,0
138,1,0
139,0,1
140,0,1
141,2,0
142,0,1
143,1,0
144,0,1
145,0,1
146,2,0
147,0,1
148,4,0
149,2,0
150,0,1
151,0,1
152,1,0
153,0,1
154,2,0
155,0,1
156,1,0
157,0,1
158,0,1
159,0,1
160,10,0
161,1,0
162,0,1
163,0,1
164,0,1
165,5,0
166,2,0
167,1,0
168,5,0
169,0,1
170,0,1
171,0,1
172,5,0
173,2,0
174,0,1
175,0,1
176,2,0
177,4,0
178,0,1
179,0,1
180,0,1
181,10,0
182,0,1
183,6,0
184,3,0
185,2,0
186,0,1
187,1,0
188,0,1
189,2,0
190,0,1
191,0,1
192,0,1
193,1,0
194,2,0
195,0,1
196,0,1
197,0,1
198,1,0
199,0,1
200,0,1
